-15.7074	0.07	0.07	-19.8502	0.07	0.07
-1.49565	0.16	0.16	0.120909	0.16	0.16
-55.56	33	33	-51.3623	29	29
22.3786	10	10	64.0874	6	6
19.3666	0.4	0.4	2.04534	0.4	0.4
1.68856	0.3	0.3	12.1876	0.4	0.4
-6.69653	2	2	12.1131	3	3
46.9427	0.12	0.12	30.8203	0.1	0.1
-9.55849	0.8	0.8	-11.3457	0.8	0.8
-57.2884	0.1	0.1	8.29617	0.1	0.1
-37.1934	0.7	0.7	-34.8185	1	1
21.4831	0.4	0.4	38.5539	0.6	0.6
-18.0556	1.9	1.9	-6.2445	1.5	1.5
-2.92399	5.6	5.6	2.90694	5	5
44.894	0.07	0.07	-2.88685	0.09	0.09
-53.6907	0.09	0.09	-21.8958	0.08	0.08
12.9493	3	3	-12.7124	3	3
-66.4744	0.8	0.8	58.3057	0.9	0.9
39.2819	5	5	15.1634	5	5
-3.55852	9	9	6.11039	19	19
-341.398	0.4	0.4	156.273	0.4	0.4
11.0363	8	8	52.9453	23	23
-9.90368	0.08	0.08	96.1758	0.07	0.07
9.76905	0.12	0.12	8.933	0.1	0.1
23.3289	1.6	1.6	19.2211	1.6	1.6
22.9892	3	3	16.1635	3	3
-27.2718	0.2	0.2	11.8427	0.2	0.2
5.37578	51	51	-20.1767	34	34
6.53759	23	23	-3.04302	14	14
-6.31879	14	14	9.05941	11	11
18.5904	3	3	-2.82805	2	2
-94.081	200	200	-35.955	100	100
7.2728	3	3	-22.1657	3	3
-123.001	120	120	-88.6265	61	61
15.8929	14	14	12.7834	8	8
62.1441	170	170	1.76262	97	97
18.9225	200	200	-10.4852	120	120
-5.30532	15	15	-2.80242	13	13
82.7898	0.16	0.16	-62.0236	0.13	0.13
-13.5127	0.15	0.15	-8.8075	0.14	0.14
-5.1511	4	4	-14.7467	3	3
-5.69475	0.6	0.6	11.2614	0.6	0.6
-27.3673	0.9	0.9	17.221	0.9	0.9
-38.5436	2	2	13.0309	1.8	1.8
-21.9258	0.4	0.4	-9.77639	0.5	0.5
6.60875	0.3	0.3	10.767	0.3	0.3
38.3664	0.3	0.3	-106.557	0.11	0.11
-1.21708	0.11	0.11	-2.37738	0.09	0.09
15.1577	0.11	0.11	-6.88445	0.12	0.12
-15.4411	0.8	0.8	-15.4849	0.6	0.6
-7.05149	2	2	-18.8222	2	2
-18.3663	22	22	-0.82506	19	19
35.7098	3	3	-65.802	3	3
-5.2138	18	18	-14.1002	17	17
