0.37	0.04	0.04	-1	-1	-1	-1	31.1	129.216	-4.044
3.2	-1	-1	-1	-1	-1	-1	0.461	130.719	3.084
0.58	-1	-1	-1	-1	-1	-1	0.774	258.595	-69.633
2	-1	-1	-1	-1	-1	-1	54.8	136.903	0.697
0.94	0.11	0.11	1.7	0.7	2	0.8	203	144.995	-1.221
0.91	0.16	0.16	1.4	0.7	2.2	0.9	23	148.19	0.811
0.64	1.4	0.6	-1	-1	-1	-1	0.848	217.078	-34.087
0.84	0.04	0.05	-1	-1	-1	-1	18.1	152.617	7.547
2	-1	-1	-1	-1	-1	-1	56	184.558	-5.784
0.72	0.12	0.09	-1	-1	-1	-1	3.21	179.719	-1.686
3	0.4	0.4	-1	-1	-1	-1	2.36	236.952	-16.758
3.49	0.36	0.36	-1	-1	-1	-1	0.29	201.108	8.258
11.3	-1	-1	2.1	0.6	-1	-1	205	254.194	-9.192
2.95	-1	-1	-1	-1	-1	-1	27.7	234.464	7.224
0.51	0.03	0.04	-1	-1	-1	-1	25.3	235.89	12.595
3.5	0.2	0.2	-1	-1	-1	-1	86.2	263.552	-2.787
4.22	-1	-1	1.8	0.8	6	0.7	36	260.904	-0.336
0.82	0.13	0.13	-1	-1	-1	-1	5.08	225.42	36.392
1.53	-1	-1	-1	-1	-1	-1	-1	285.984	6.649
1.47	-1	-1	-1	-1	-1	-1	21.5	284.451	18.069
2.8	0.16	0.16	-1	-1	-1	-1	3.92	241.902	69.195
1.34	-1	-1	-1	-1	-1	-1	10.5	309.874	18.415
0.47	0.03	0.03	-1	-1	-1	-1	35.3	91.325	52.287
0.384	0.081	0.081	2	0.5	-1	-1	212	334.54	6.367
2.91	-1	-1	-1	-1	-1	-1	178	14.114	26.062
4.32	-1	-1	-1	-1	-1	-1	31.7	17.271	13.284
4.77	-1	-1	-1	-1	-1	-1	88.7	37.085	21.679
3.21	-1	-1	-1	-1	-1	-1	106	350.555	-4.749
1.91	-1	-1	-1	-1	5.5	0.6	0.52	358.553	-0.963
5.22	-1	-1	-1	-1	-1	-1	18.1	5.254	-0.882
3.94	-1	-1	4	0.6	4.9	0.3	147	8.395	0.146
4.74	-1	-1	3.2	0.5	-1	-1	67.1	12.279	-3.106
4.12	-1	-1	-1	-1	-1	-1	35.6	18.001	-0.691
4.68	-1	-1	-1	-1	-1	-1	232	4.604	-3.418
4.85	-1	-1	4.7	0.3	5.8	0.3	56.8	23.272	0.298
2.83	-1	-1	-1	-1	-1	-1	20.9	21.222	-1.512
4.47	-1	-1	-1	-1	-1	-1	107	22.263	-1.415
3.99	-1	-1	4.8	1	5.7	1.7	47.5	48.26	0.624
2.77	0.07	0.07	2.77	0.07	-1	-1	3.46	47.382	-3.884
0.22	0.08	0.12	5.2	1.7	-1	-1	575	52.436	-2.093
4.74	-1	-1	-1	-1	-1	-1	67.4	13.901	-21.824
7.87	-1	-1	-1	-1	-1	-1	514	70.702	5.047
2.37	-1	-1	3.1	2	-1	-1	9	68.765	2.823
13.07	-1	-1	-1	-1	-1	-1	1090	75.93	2.476
0.37	0.12	0.12	3.1	2.1	-1	-1	168	68.863	-4.671
0.5	0.07	0.07	-1	-1	-1	-1	87.5	87.862	8.38
1.05	0.03	0.02	-1	-1	-1	-1	11.7	30.514	-33.077
0.17	0.03	0.03	-1	-1	-1	-1	65	79.133	-5.589
0.28	0.06	0.06	-1	-1	-1	-1	143	90.488	-11.341
14.85	-1	-1	-1	-1	-1	-1	595	106.566	-0.111
3.66	-1	-1	-1	-1	-1	-1	33.8	97.721	-26.657
3.03	-1	-1	2.6	0.6	-1	-1	87.5	112.095	-0.566
0.49	-1	-1	-1	-1	-1	-1	0.72	49.394	-70.19
3.15	-1	-1	-1	-1	-1	-1	8.54	114.284	0.233
