16.1624478309	1.8	1.8	-22.3462587498	1.6	1.6
8.00840441893	0.09	0.09	-12.9336483122	0.16	0.16
115.329067568	3.0	3.0	-124.881808819	1.8	1.8
-15.7073956276	0.07	0.07	-19.8501844475	0.07	0.07
22.847333592	1.8	1.8	-14.7176542878	1.6	1.6
-1.4956540048	0.16	0.16	0.120909461739	0.16	0.16
-55.5600022134	33.0	33.0	-51.3623028499	29.0	29.0
22.3786144521	10.0	10.0	64.0874216614	6.0	6.0
-56.5818754209	17.0	17.0	-41.2127574162	19.0	19.0
19.3666353721	0.4	0.4	2.04534455924	0.4	0.4
1.68855652541	0.3	0.3	12.1876034092	0.4	0.4
-6.69653132717	2.0	2.0	12.1130701387	3.0	3.0
46.9427320042	0.12	0.12	30.8202711211	0.1	0.1
-9.55848638749	0.8	0.8	-11.3457189274	0.8	0.8
-57.2883532152	0.1	0.1	8.29616693966	0.1	0.1
-37.1933928902	0.7	0.7	-34.8185169891	1.0	1.0
21.4831141421	0.4	0.4	38.5538675979	0.6	0.6
-18.0556413389	1.9	1.9	-6.24450284989	1.5	1.5
-2.92398680847	5.6	5.6	2.90694016861	5.0	5.0
37.7788740774	0.4	0.4	32.9502211441	0.13	0.13
44.8939783575	0.07	0.07	-2.88685074699	0.09	0.09
-53.6906564919	0.09	0.09	-21.8957942415	0.08	0.08
12.949310901	3.0	3.0	-12.7124091811	3.0	3.0
69.5367275331	68.0	68.0	63.5503227686	70.0	70.0
-66.4744009487	0.8	0.8	58.3056945634	0.9	0.9
-26.502300827	0.08	0.08	13.0340995421	0.08	0.08
-8.84680893656	4.0	4.0	10.8965119024	5.0	5.0
39.2819336782	5.0	5.0	15.1634325435	5.0	5.0
-3.55852303011	9.0	9.0	6.1103939189	19.0	19.0
-341.397767136	0.4	0.4	156.272757044	0.4	0.4
-105.685009444	1.3	1.3	-46.8112035618	1.3	1.3
11.0362573959	8.0	8.0	52.9452644029	23.0	23.0
-9.90367946176	0.08	0.08	96.1758245773	0.07	0.07
-14.1461176326	3.0	3.0	10.241452823	3.0	3.0
-6.23746354201	0.07	0.07	5.21948738499	0.07	0.07
9.7690498541	0.12	0.12	8.93300425098	0.1	0.1
23.328936391	1.6	1.6	19.2211010836	1.6	1.6
-23.077246429	5.0	5.0	-12.0183483581	5.0	5.0
-33.52456373	23.0	23.0	-21.8427019097	16.0	16.0
22.9891734054	3.0	3.0	16.1634744451	3.0	3.0
-27.2717704877	0.2	0.2	11.8427418476	0.2	0.2
5.37577596992	51.0	51.0	-20.1767448495	34.0	34.0
6.53758635016	23.0	23.0	-3.04301901312	14.0	14.0
-6.31879079388	14.0	14.0	9.05940852943	11.0	11.0
18.5903781222	3.0	3.0	-2.82804548653	2.0	2.0
-94.0810087917	200.0	200.0	-35.9550244713	100.0	100.0
7.27279710717	3.0	3.0	-22.1656586241	3.0	3.0
-123.001364038	120.0	120.0	-88.6265448096	61.0	61.0
15.8929425583	14.0	14.0	12.7833632835	8.0	8.0
62.1441321281	170.0	170.0	1.7626236242	97.0	97.0
18.9224893852	200.0	200.0	-10.4851988759	120.0	120.0
-5.30532061877	15.0	15.0	-2.80242272544	13.0	13.0
36.2352954125	6.0	6.0	-0.058020423178	5.0	5.0
82.7897784167	0.16	0.16	-62.023550283	0.13	0.13
-13.5126959233	0.15	0.15	-8.80749958187	0.14	0.14
-5.15110436778	4.0	4.0	-14.746732648	3.0	3.0
-25.1257362827	20.0	20.0	-28.6128882892	11.0	11.0
-5.69475288127	0.6	0.6	11.2614292886	0.6	0.6
-27.3672777713	0.9	0.9	17.2209787	0.9	0.9
-38.543553281	2.0	2.0	13.0309055891	1.8	1.8
-6.59424283807	0.4	0.4	-1.30994709535	0.3	0.3
-21.9258319961	0.4	0.4	-9.77639459503	0.5	0.5
6.60875254701	0.3	0.3	10.7669535976	0.3	0.3
38.3664233022	0.3	0.3	-106.556854134	0.11	0.11
-1.21707542283	0.11	0.11	-2.37737826505	0.09	0.09
3.39906515054	1.4	1.4	-1.62983315169	1.4	1.4
-152.404551304	0.6	0.6	66.5500927257	0.9	0.9
15.1576913471	0.11	0.11	-6.88445299403	0.12	0.12
-15.4411268624	0.8	0.8	-15.4848829901	0.6	0.6
-7.05149453485	2.0	2.0	-18.8222321956	2.0	2.0
24.5756597477	0.11	0.11	-3.82909231602	0.13	0.13
-18.3662537088	22.0	22.0	-0.825060423634	19.0	19.0
35.7098306659	3.0	3.0	-65.8019604101	3.0	3.0
-5.21380211146	18.0	18.0	-14.1002222515	17.0	17.0
-4.40889842736	1.0	1.0	0.990764683084	1.0	1.0
-23.3523072472	4.0	4.0	167.055888092	4.0	4.0
-89.5538581162	1.3	1.3	-59.8761763684	1.3	1.3
-7.60673639093	9.9	9.9	-60.4860112876	10.0	10.0
-1.22395334721	0.5	0.5	-9.16252902881	0.4	0.4
-8.2166232617	1.9	1.9	0.58915377901	1.6	1.6
-13.4326201873	0.9	0.9	0.121305004205	0.5	0.5
62.7219439639	0.4	0.4	-326.343818304	0.4	0.4
-6.77914977787	0.6	0.6	0.54141323326	0.6	0.6
